"description","regex"
"Validate a string of zero or more uppercase letters.","^[A-Z]*$"
"Extract a string where the substring 'total' is immediately followed by a four-digit id.","^.*total\d{4}.*$"
"Validate a string of word characters that does not start with the word 'Login', using a negative lookahead.","^(?!Login)\w+$"
"Validate a string where one or more digits come immediately before the word 'test'.","^.*\d+test.*$"
"Extract the run of digits that appears right after a colon, using a positive lookbehind.","(?<=:)\d+"
"Capture a string made of two uppercase letters followed by one lowercase letter.","^[A-Z]{2}[a-z]{1}$"
"Capture a string of two letters and two digits separated by a colon.","^[A-Za-z]{2}:[0-9]{2}$"
"Identify a string that is exactly the word 'email'.","^email$"
"Validate a string where the substring 'batch' is immediately followed by a two-digit id.","^.*batch\d{2}.*$"
"Identify a string where the substring 'invoice' is immediately followed by a two-digit id.","^.*invoice\d{2}.*$"
"Identify a string that ends with the word 'job'.","^.*job$"
"Identify a string that is exactly the word 'address'.","^address$"
"Search for a string that starts with the word 'phone'.","^phone.*$"
"Detect a string where the substring 'minute' is immediately followed by a five-digit id.","^.*minute\d{5}.*$"
"Search for a string of four uppercase letters and four digits separated by a colon.","^[A-Z]{4}:[0-9]{4}$"
"Search for a string where the substring 'status' is immediately followed by a three-digit id.","^.*status\d{3}.*$"
"Test whether the input is a string where the substring 'task' is immediately followed by a three-digit id.","^.*task\d{3}.*$"
"Match a string where the substring 'alpha' is immediately followed by a four-digit id.","^.*alpha\d{4}.*$"
"Extract a string of at least eight letters.","^[A-Za-z]{8,}$"
"Find a string of exactly ten letters.","^[A-Za-z]{10}$"
"Extract a string of exactly four uppercase letters.","^[A-Z]{4}$"
"Check if the input is a string that starts with the word 'item'.","^item.*$"
"Identify a string of four letters and four digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{4}$"
"Find a string of between two and four lowercase letters.","^[a-z]{2,4}$"
"Match a string where the word 'job' is followed by one or more digits.","^.*job\d+.*$"
"Search for a string of between two and four lowercase letters.","^[a-z]{2,4}$"
"Find a string of three letters and three digits separated by a dot.","^[A-Za-z]{3}\.[0-9]{3}$"
"Test whether the input is a string that ends with the word 'hour'.","^.*hour$"
"Match a string containing the substring 'alpha'.","^.*alpha.*$"
"Check if the input is a string containing the substring 'order'.","^.*order.*$"
"Detect a string containing the standalone whole word 'order'.","^.*\border\b.*$"
"Capture a string where the substring 'data' is immediately followed by a five-digit id.","^.*data\d{5}.*$"
"Extract a string of four letters and four digits separated by a colon.","^[A-Za-z]{4}:[0-9]{4}$"
"Find a string where the substring 'data' is immediately followed by a three-digit id.","^.*data\d{3}.*$"
"Identify a string of one or more consonants.","^[bcdfghjklmnpqrstvwxyz]+$"
"Find the run of digits that appears right after an equals sign, using a positive lookbehind.","(?<==)\d+"
"Find a string of at least eight digits.","^[0-9]{8,}$"
"Search for a string made of two lowercase letters followed by four digits.","^[a-z]{2}[0-9]{4}$"
"Identify a string that is exactly the word 'status'.","^status$"
"Validate a string where the substring 'account' is immediately followed by a four-digit id.","^.*account\d{4}.*$"
"Check if the input is the run of digits that appears right after an at sign, using a positive lookbehind.","(?<=@)\d+"
"Match a string of three lowercase letters and two digits separated by a colon.","^[a-z]{3}:[0-9]{2}$"
"Validate a string that starts with the word 'job'.","^job.*$"
"Identify a string where the substring 'test' is immediately followed by a four-digit id.","^.*test\d{4}.*$"
"Detect a string where the word 'total' is followed by one or more digits.","^.*total\d+.*$"
"Check if the input is a string where the word 'cache' is followed by one or more digits.","^.*cache\d+.*$"
"Search for a string where one or more digits come immediately before the word 'year'.","^.*\d+year.*$"
"Match a string that ends with the word 'minute'.","^.*minute$"
"Match a string where one or more digits come immediately before the word 'total'.","^.*\d+total.*$"
"Find a string that ends with the word 'total'.","^.*total$"
"Check if the input is a string of at least eight uppercase letters.","^[A-Z]{8,}$"
"Test whether the input is a string of between one and three uppercase letters.","^[A-Z]{1,3}$"
"Test whether the input is a string containing the substring 'level'.","^.*level.*$"
"Identify a string where the word 'gamma' is followed by one or more digits.","^.*gamma\d+.*$"
"Validate a string of two letters and four digits separated by a dot.","^[A-Za-z]{2}\.[0-9]{4}$"
"Search for a string where the substring 'hour' is immediately followed by a five-digit id.","^.*hour\d{5}.*$"
"Match a string where the substring 'token' is immediately followed by a six-digit id.","^.*token\d{6}.*$"
"Find a string that is exactly the word 'total'.","^total$"
"Identify a string containing the substring 'price'.","^.*price.*$"
"Extract a string where the substring 'phone' is immediately followed by a two-digit id.","^.*phone\d{2}.*$"
"Validate a string of exactly six digits.","^[0-9]{6}$"
"Extract a string where the substring 'flag' is immediately followed by a six-digit id.","^.*flag\d{6}.*$"
"Extract a string of between two and six whitespace characters.","^\s{2,6}$"
"Match a string where the substring 'admin' is immediately followed by a three-digit id.","^.*admin\d{3}.*$"
"Capture a string of four letters and two digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{2}$"
"Check if the input is a string of two letters and three digits separated by a underscore.","^[A-Za-z]{2}_[0-9]{3}$"
"Find a string where the substring 'order' is immediately followed by a four-digit id.","^.*order\d{4}.*$"
"Match a string where the substring 'amount' is immediately followed by a two-digit id.","^.*amount\d{2}.*$"
"Detect a string of three letters and three digits separated by a slash.","^[A-Za-z]{3}/[0-9]{3}$"
"Find a string where the substring 'address' is immediately followed by a two-digit id.","^.*address\d{2}.*$"
"Validate a string where the word 'stack' is followed by one or more digits.","^.*stack\d+.*$"
"Detect a string of exactly two word characters.","^\w{2}$"
"Check if the input is a string of three lowercase letters and three digits separated by a hyphen.","^[a-z]{3}-[0-9]{3}$"
"Test whether the input is a string where the substring 'data' is immediately followed by a four-digit id.","^.*data\d{4}.*$"
"Test whether the input is a string that is exactly the word 'state'.","^state$"
"Capture a string containing the same letter repeated five times in a row.","^.*([A-Za-z])\1{4}.*$"
"Match a string where the substring 'invoice' is immediately followed by a two-digit id.","^.*invoice\d{2}.*$"
"Find a string where the word 'code' is followed by one or more digits.","^.*code\d+.*$"
"Search for a string where the substring 'report' is immediately followed by a two-digit id.","^.*report\d{2}.*$"
"Test whether the input is a string where the substring 'order' is immediately followed by a six-digit id.","^.*order\d{6}.*$"
"Validate a string of four letters and four digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{4}$"
"Find a string of at least two letters.","^[A-Za-z]{2,}$"
"Detect a string containing the standalone whole word 'beta'.","^.*\bbeta\b.*$"
"Validate a string where the substring 'item' is immediately followed by a four-digit id.","^.*item\d{4}.*$"
"Find a string containing the standalone whole word 'alpha'.","^.*\balpha\b.*$"
"Detect a string where one or more digits come immediately before the word 'cache'.","^.*\d+cache.*$"
"Check if the input is a string of four letters and four digits separated by a slash.","^[A-Za-z]{4}/[0-9]{4}$"
"Test whether the input is a string where the substring 'queue' is immediately followed by a two-digit id.","^.*queue\d{2}.*$"
"Validate a string of between four and eight uppercase letters.","^[A-Z]{4,8}$"
"Detect a string of exactly ten hexadecimal digits.","^[0-9A-Fa-f]{10}$"
"Check if the input is a string that ends with the word 'state'.","^.*state$"
"Match a string of at least five word characters.","^\w{5,}$"
"Extract a string of three lowercase letters and two digits separated by a dot.","^[a-z]{3}\.[0-9]{2}$"
"Validate a string containing the standalone whole word 'admin'.","^.*\badmin\b.*$"
"Extract a string that is exactly the word 'profile'.","^profile$"
"Identify a string where the substring 'phone' is immediately followed by a six-digit id.","^.*phone\d{6}.*$"
"Find a string where the substring 'temp' is immediately followed by a three-digit id.","^.*temp\d{3}.*$"
"Validate a string that ends with the word 'hour'.","^.*hour$"
"Detect a string of two uppercase letters and three digits separated by a slash.","^[A-Z]{2}/[0-9]{3}$"
"Check if the input is a string where the word 'temp' is followed by one or more digits.","^.*temp\d+.*$"
"Identify a string where the substring 'code' is immediately followed by a four-digit id.","^.*code\d{4}.*$"
"Extract a string containing the standalone whole word 'ticket'.","^.*\bticket\b.*$"
"Extract a string where the substring 'email' is immediately followed by a five-digit id.","^.*email\d{5}.*$"
"Validate a string where the substring 'login' is immediately followed by a five-digit id.","^.*login\d{5}.*$"
"Capture a string of between one and three word characters.","^\w{1,3}$"
"Validate a string of at least five lowercase letters.","^[a-z]{5,}$"
"Match a string made of four uppercase letters followed by one lowercase letter.","^[A-Z]{4}[a-z]{1}$"
"Test whether the input is a string that ends with the word 'user'.","^.*user$"
"Test whether the input is a string containing the standalone whole word 'node'.","^.*\bnode\b.*$"
"Match a string where the substring 'queue' is immediately followed by a three-digit id.","^.*queue\d{3}.*$"
"Validate a string of at least two uppercase letters.","^[A-Z]{2,}$"
"Detect a string containing the same digit repeated four times in a row.","^.*(\d)\1{3}.*$"
"Search for a string that is exactly the word 'address'.","^address$"
"Validate a string that starts with the word 'edge'.","^edge.*$"
"Extract a string containing the standalone whole word 'month'.","^.*\bmonth\b.*$"
"Search for a string of three uppercase letters and three digits separated by a slash.","^[A-Z]{3}/[0-9]{3}$"
"Match a string of four letters and four digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{4}$"
"Check if the input is a string made of one uppercase letter followed by two lowercase letters.","^[A-Z]{1}[a-z]{2}$"
"Identify a string of two lowercase letters and three digits separated by a hyphen.","^[a-z]{2}-[0-9]{3}$"
"Check if the input is a string containing the substring 'graph'.","^.*graph.*$"
"Identify a string of at least eight lowercase letters.","^[a-z]{8,}$"
"Find a string that ends with the word 'alpha'.","^.*alpha$"
"Capture a string that ends with the word 'ticket'.","^.*ticket$"
"Detect a string where the substring 'job' is immediately followed by a two-digit id.","^.*job\d{2}.*$"
"Test whether the input is a string where the substring 'item' is immediately followed by a five-digit id.","^.*item\d{5}.*$"
"Test whether the input is a string where the substring 'admin' is immediately followed by a five-digit id.","^.*admin\d{5}.*$"
"Detect a string containing the substring 'status'.","^.*status.*$"
"Test whether the input is a string containing the same digit repeated three times in a row.","^.*(\d)\1{2}.*$"
"Search for a string of exactly three consonants.","^[bcdfghjklmnpqrstvwxyz]{3}$"
"Detect a string of between one and three letters.","^[A-Za-z]{1,3}$"
"Find a string where the substring 'report' is immediately followed by a six-digit id.","^.*report\d{6}.*$"
"Search for a string where the substring 'country' is immediately followed by a six-digit id.","^.*country\d{6}.*$"
"Check if the input is a string where the word 'session' is followed by one or more digits.","^.*session\d+.*$"
"Test whether the input is a string that starts with the word 'alpha'.","^alpha.*$"
"Search for a string made of one lowercase letter followed by one digit.","^[a-z]{1}[0-9]{1}$"
"Detect a string that starts with the word 'minute'.","^minute.*$"
"Detect a string of one or more alphanumeric characters.","^[A-Za-z0-9]+$"
"Extract a string where the substring 'error' is immediately followed by a four-digit id.","^.*error\d{4}.*$"
"Detect a string of exactly one punctuation mark.","^[.,;:!?]$"
"Capture a string containing the standalone whole word 'config'.","^.*\bconfig\b.*$"
"Test whether the input is a string of three lowercase letters and three digits separated by a colon.","^[a-z]{3}:[0-9]{3}$"
"Find a string where the substring 'session' is immediately followed by a five-digit id.","^.*session\d{5}.*$"
"Capture a string of between one and three whitespace characters.","^\s{1,3}$"
"Find a string of zero or more word characters.","^\w*$"
"Match a string where the substring 'day' is immediately followed by a five-digit id.","^.*day\d{5}.*$"
"Identify a string of two lowercase letters and four digits separated by a colon.","^[a-z]{2}:[0-9]{4}$"
"Identify a string of at least two whitespace characters.","^\s{2,}$"
"Extract a string where the substring 'code' is immediately followed by a four-digit id.","^.*code\d{4}.*$"
"Extract a string containing the substring 'total'.","^.*total.*$"
"Search for a string where one or more digits come immediately before the word 'test'.","^.*\d+test.*$"
"Find a string that starts with the word 'graph'.","^graph.*$"
"Identify a string where the substring 'day' is immediately followed by a four-digit id.","^.*day\d{4}.*$"
"Check if the input is a string where one or more digits come immediately before the word 'day'.","^.*\d+day.*$"
"Validate a string where the substring 'user' is immediately followed by a four-digit id.","^.*user\d{4}.*$"
"Capture a string made of three letters followed by four digits.","^[A-Za-z]{3}[0-9]{4}$"
"Validate a string containing the standalone whole word 'code'.","^.*\bcode\b.*$"
"Check if the input is a string containing the substring 'gamma'.","^.*gamma.*$"
"Find a string where the substring 'minute' is immediately followed by a four-digit id.","^.*minute\d{4}.*$"
"Validate a string where the word 'code' is followed by one or more digits.","^.*code\d+.*$"
"Capture a string of at least eight digits.","^[0-9]{8,}$"
"Extract a string where the substring 'date' is immediately followed by a two-digit id.","^.*date\d{2}.*$"
"Validate a string of two uppercase letters and four digits separated by a dot.","^[A-Z]{2}\.[0-9]{4}$"
"Check if the input is a string where the substring 'time' is immediately followed by a three-digit id.","^.*time\d{3}.*$"
"Capture a string of between five and ten alphanumeric characters.","^[A-Za-z0-9]{5,10}$"
"Check if the input is a string of three lowercase letters and four digits separated by a colon.","^[a-z]{3}:[0-9]{4}$"
"Match a string where the substring 'error' is immediately followed by a five-digit id.","^.*error\d{5}.*$"
"Validate a string that starts with the word 'error'.","^error.*$"
"Match a string of exactly six digits.","^[0-9]{6}$"
"Validate a string where the substring 'total' is immediately followed by a two-digit id.","^.*total\d{2}.*$"
"Match a string containing the standalone whole word 'state'.","^.*\bstate\b.*$"
"Search for a string where the substring 'total' is immediately followed by a six-digit id.","^.*total\d{6}.*$"
"Capture a string where the substring 'stack' is immediately followed by a six-digit id.","^.*stack\d{6}.*$"
"Search for a string of zero or more hexadecimal digits.","^[0-9A-Fa-f]*$"
"Extract a string of two lowercase letters and two digits separated by a hyphen.","^[a-z]{2}-[0-9]{2}$"
"Detect a string containing the standalone whole word 'stack'.","^.*\bstack\b.*$"
"Detect the run of digits that appears right after a colon, using a positive lookbehind.","(?<=:)\d+"
"Match a string where the substring 'temp' is immediately followed by a six-digit id.","^.*temp\d{6}.*$"
"Identify a string that is exactly the word 'price'.","^price$"
"Identify a string where the word 'country' is followed by one or more digits.","^.*country\d+.*$"
"Identify a string of three letters and two digits separated by a hyphen.","^[A-Za-z]{3}-[0-9]{2}$"
"Match a string containing the standalone whole word 'level'.","^.*\blevel\b.*$"
"Identify a string where the word 'queue' is followed by one or more digits.","^.*queue\d+.*$"
"Validate a string where the substring 'test' is immediately followed by a four-digit id.","^.*test\d{4}.*$"
"Search for a run of digits that is not immediately preceded by a minus sign, using a negative lookbehind.","(?<!-)\d+"
"Match a string of at least eight uppercase letters.","^[A-Z]{8,}$"
"Check if the input is a string of exactly three special characters.","^[!@#$%^&*]{3}$"
"Identify a string of exactly five whitespace characters.","^\s{5}$"
"Test whether the input is a string of three uppercase letters and four digits separated by a slash.","^[A-Z]{3}/[0-9]{4}$"
"Extract a string made of four uppercase letters followed by four digits.","^[A-Z]{4}[0-9]{4}$"
"Find a string made of four lowercase letters followed by three digits.","^[a-z]{4}[0-9]{3}$"
"Detect a string where the substring 'flag' is immediately followed by a two-digit id.","^.*flag\d{2}.*$"
"Find a string where one or more digits come immediately before the word 'node'.","^.*\d+node.*$"
"Match a string of between one and three letters.","^[A-Za-z]{1,3}$"
"Check if the input is a string where the substring 'time' is immediately followed by a six-digit id.","^.*time\d{6}.*$"
"Detect a string that is exactly the word 'code'.","^code$"
"Detect a string that is exactly the word 'temp'.","^temp$"
"Extract a string made of one uppercase letter followed by four digits.","^[A-Z]{1}[0-9]{4}$"
"Find a string of between five and ten uppercase letters.","^[A-Z]{5,10}$"
"Capture a string made of one lowercase letter followed by four digits.","^[a-z]{1}[0-9]{4}$"
"Extract a string of three letters and four digits separated by a slash.","^[A-Za-z]{3}/[0-9]{4}$"
"Extract a string containing the substring 'gamma'.","^.*gamma.*$"
"Find a string containing the substring 'country'.","^.*country.*$"
"Detect a string made of four letters followed by one digit.","^[A-Za-z]{4}[0-9]{1}$"
"Identify a string of exactly two letters.","^[A-Za-z]{2}$"
"Test whether the input is a string of four lowercase letters and two digits separated by a slash.","^[a-z]{4}/[0-9]{2}$"
"Validate a string containing the standalone whole word 'hour'.","^.*\bhour\b.*$"
"Capture a string of exactly ten alphanumeric characters.","^[A-Za-z0-9]{10}$"
"Capture a string where the substring 'batch' is immediately followed by a three-digit id.","^.*batch\d{3}.*$"
"Validate the run of digits that appears right after a dollar sign, using a positive lookbehind.","(?<=\$)\d+"
"Identify a string that starts with the word 'status'.","^status.*$"
"Extract a string of exactly ten lowercase letters.","^[a-z]{10}$"
"Find a string where one or more digits come immediately before the word 'ticket'.","^.*\d+ticket.*$"
"Validate a string that is exactly the word 'test'.","^test$"
"Search for a string where the substring 'flag' is immediately followed by a six-digit id.","^.*flag\d{6}.*$"
"Detect a string of three uppercase letters and three digits separated by a underscore.","^[A-Z]{3}_[0-9]{3}$"
"Capture a string containing the substring 'account'.","^.*account.*$"
"Find a string of between two and four alphanumeric characters.","^[A-Za-z0-9]{2,4}$"
"Detect a string where the substring 'user' is immediately followed by a two-digit id.","^.*user\d{2}.*$"
"Identify a string where the word 'beta' is followed by one or more digits.","^.*beta\d+.*$"
"Validate a string of exactly one consonant.","^[bcdfghjklmnpqrstvwxyz]$"
"Extract a string that is exactly the word 'email'.","^email$"
"Check if the input is a string of two uppercase letters and two digits separated by a underscore.","^[A-Z]{2}_[0-9]{2}$"
"Validate a string of one or more alphanumeric characters.","^[A-Za-z0-9]+$"
"Test whether the input is a string of at least eight alphanumeric characters.","^[A-Za-z0-9]{8,}$"
"Match a string where the substring 'batch' is immediately followed by a two-digit id.","^.*batch\d{2}.*$"
"Extract a string where the substring 'profile' is immediately followed by a six-digit id.","^.*profile\d{6}.*$"
"Find a string where one or more digits come immediately before the word 'batch'.","^.*\d+batch.*$"
"Validate a string of word characters that does not start with the word 'Test', using a negative lookahead.","^(?!Test)\w+$"
"Detect a string containing the substring 'session'.","^.*session.*$"
"Test whether the input is a string where the substring 'account' is immediately followed by a six-digit id.","^.*account\d{6}.*$"
"Identify a string made of four lowercase letters followed by four digits.","^[a-z]{4}[0-9]{4}$"
"Extract a string that starts with the word 'admin'.","^admin.*$"
"Extract a string of at least eight uppercase letters.","^[A-Z]{8,}$"
"Capture a string where the substring 'order' is immediately followed by a five-digit id.","^.*order\d{5}.*$"
"Capture a string where the substring 'phone' is immediately followed by a two-digit id.","^.*phone\d{2}.*$"
"Validate a string of three lowercase letters and four digits separated by a underscore.","^[a-z]{3}_[0-9]{4}$"
"Check if the input is a string made of three uppercase letters followed by three digits.","^[A-Z]{3}[0-9]{3}$"
"Find a string of exactly six word characters.","^\w{6}$"
"Detect a string of four uppercase letters and two digits separated by a colon.","^[A-Z]{4}:[0-9]{2}$"
"Capture a string that is exactly the word 'minute'.","^minute$"
"Check if the input is a string of four lowercase letters and two digits separated by a slash.","^[a-z]{4}/[0-9]{2}$"
"Match a two-decimal amount that follows a dollar sign, using a positive lookbehind.","(?<=\$)\d+\.\d{2}"
"Test whether the input is a string of exactly ten lowercase letters.","^[a-z]{10}$"
"Detect a string of two uppercase letters and two digits separated by a slash.","^[A-Z]{2}/[0-9]{2}$"
"Check if the input is a string containing the standalone whole word 'order'.","^.*\border\b.*$"
"Validate a string where the word 'queue' is followed by one or more digits.","^.*queue\d+.*$"
"Extract a string where one or more digits come immediately before the word 'hour'.","^.*\d+hour.*$"
"Identify a string of one or more digits.","^[0-9]+$"
"Check if the input is a string containing the standalone whole word 'error'.","^.*\berror\b.*$"
"Identify a string of three letters and three digits separated by a dot.","^[A-Za-z]{3}\.[0-9]{3}$"
"a six-digit hex color code with a leading hash","^#[0-9A-Fa-f]{6}$"
"Test whether the input is a string containing the substring 'status'.","^.*status.*$"
"Extract a string of exactly seven hexadecimal digits.","^[0-9A-Fa-f]{7}$"
"Find a string where the word 'account' is followed by one or more digits.","^.*account\d+.*$"
"Extract a string of two lowercase letters and three digits separated by a colon.","^[a-z]{2}:[0-9]{3}$"
"Search for a string where the substring 'profile' is immediately followed by a three-digit id.","^.*profile\d{3}.*$"
"Find a string of exactly one lowercase letter.","^[a-z]{1}$"
"Search for a string of exactly two word characters.","^\w{2}$"
"Identify a string made of four lowercase letters followed by one digit.","^[a-z]{4}[0-9]{1}$"
"Test whether the input is a string made of two lowercase letters followed by three digits.","^[a-z]{2}[0-9]{3}$"
"Detect a string of four uppercase letters and three digits separated by a dot.","^[A-Z]{4}\.[0-9]{3}$"
"Check if the input is a string of four lowercase letters and two digits separated by a dot.","^[a-z]{4}\.[0-9]{2}$"
"Check if the input is a string where the substring 'minute' is immediately followed by a six-digit id.","^.*minute\d{6}.*$"
"Extract a string that ends with the word 'login'.","^.*login$"
"Identify the run of digits that appears right after an at sign, using a positive lookbehind.","(?<=@)\d+"
"Detect a string of between four and eight whitespace characters.","^\s{4,8}$"
"Match a string that is exactly the word 'beta'.","^beta$"
"Detect a string where the word 'user' is followed by one or more digits.","^.*user\d+.*$"
"Match a string where the substring 'day' is immediately followed by a two-digit id.","^.*day\d{2}.*$"
"Validate a string of three lowercase letters and four digits separated by a hyphen.","^[a-z]{3}-[0-9]{4}$"
"Extract a string that ends with the word 'user'.","^.*user$"
"Find a string made of four lowercase letters followed by one digit.","^[a-z]{4}[0-9]{1}$"
"Detect a string of at least five lowercase letters.","^[a-z]{5,}$"
"Find a string where the substring 'test' is immediately followed by a two-digit id.","^.*test\d{2}.*$"
"Validate a string of two uppercase letters and four digits separated by a slash.","^[A-Z]{2}/[0-9]{4}$"
"Detect a string of two letters and two digits separated by a dot.","^[A-Za-z]{2}\.[0-9]{2}$"
"Match a string of between two and four word characters.","^\w{2,4}$"
"Search for a string where the substring 'account' is immediately followed by a six-digit id.","^.*account\d{6}.*$"
"Detect a string where the substring 'city' is immediately followed by a three-digit id.","^.*city\d{3}.*$"
"Detect a string that starts with the word 'config'.","^config.*$"
"Validate a string where the substring 'code' is immediately followed by a six-digit id.","^.*code\d{6}.*$"
"Test whether the input is a string containing the standalone whole word 'status'.","^.*\bstatus\b.*$"
"Test whether the input is a string where the substring 'hour' is immediately followed by a four-digit id.","^.*hour\d{4}.*$"
"Capture a string where the word 'token' is followed by one or more digits.","^.*token\d+.*$"
"Find a string of three uppercase letters and three digits separated by a underscore.","^[A-Z]{3}_[0-9]{3}$"
"Search for a string of between two and six word characters.","^\w{2,6}$"
"Check if the input is a string where the substring 'status' is immediately followed by a two-digit id.","^.*status\d{2}.*$"
"Check if the input is a string where the substring 'hour' is immediately followed by a five-digit id.","^.*hour\d{5}.*$"
"Capture a string containing the substring 'date'.","^.*date.*$"
"Test whether the input is a string of zero or more alphanumeric characters.","^[A-Za-z0-9]*$"
"Search for a string that starts with the word 'minute'.","^minute.*$"
"Search for a string that starts with the word 'flag'.","^flag.*$"
"Capture a string that starts with the word 'account'.","^account.*$"
"Search for a string made of one uppercase letter followed by four digits.","^[A-Z]{1}[0-9]{4}$"
"Check if the input is a string made of three lowercase letters followed by three digits.","^[a-z]{3}[0-9]{3}$"
"Match a string of four uppercase letters and two digits separated by a hyphen.","^[A-Z]{4}-[0-9]{2}$"
"Match a string where one or more digits come immediately before the word 'minute'.","^.*\d+minute.*$"
"Validate a string where the substring 'day' is immediately followed by a six-digit id.","^.*day\d{6}.*$"
"Capture a string where the substring 'cache' is immediately followed by a three-digit id.","^.*cache\d{3}.*$"
"Extract a string where the substring 'data' is immediately followed by a five-digit id.","^.*data\d{5}.*$"
"Validate a string made of two uppercase letters followed by two digits.","^[A-Z]{2}[0-9]{2}$"
"Identify a string of between four and eight word characters.","^\w{4,8}$"
"Identify a string of between four and eight letters.","^[A-Za-z]{4,8}$"
"Validate a string where the substring 'admin' is immediately followed by a six-digit id.","^.*admin\d{6}.*$"
"Detect a string of between four and eight uppercase letters.","^[A-Z]{4,8}$"
"Identify a string containing the substring 'profile'.","^.*profile.*$"
"Capture a string where the substring 'amount' is immediately followed by a five-digit id.","^.*amount\d{5}.*$"
"Extract a string of exactly one hexadecimal digit.","^[0-9A-Fa-f]{1}$"
"Extract a string where the substring 'user' is immediately followed by a six-digit id.","^.*user\d{6}.*$"
"Extract a string where the word 'token' is followed by one or more digits.","^.*token\d+.*$"
"Identify a string where the substring 'price' is immediately followed by a five-digit id.","^.*price\d{5}.*$"
"Validate a string of exactly four vowels.","^[aeiou]{4}$"
"Detect a string that is exactly the word 'task'.","^task$"
"Extract a string where the substring 'temp' is immediately followed by a three-digit id.","^.*temp\d{3}.*$"
"Validate a string made of two lowercase letters followed by three digits.","^[a-z]{2}[0-9]{3}$"
"Extract a string of at least eight whitespace characters.","^\s{8,}$"
"Extract a string made of four uppercase letters followed by one digit.","^[A-Z]{4}[0-9]{1}$"
"Detect a string of exactly four lowercase letters.","^[a-z]{4}$"
"Detect a string of four lowercase letters and three digits separated by a colon.","^[a-z]{4}:[0-9]{3}$"
"Find a string where the substring 'profile' is immediately followed by a six-digit id.","^.*profile\d{6}.*$"
"Search for a string where the substring 'invoice' is immediately followed by a four-digit id.","^.*invoice\d{4}.*$"
"Capture a string of at least eight whitespace characters.","^\s{8,}$"
"Detect a string where the substring 'queue' is immediately followed by a five-digit id.","^.*queue\d{5}.*$"
"Validate a string of word characters that does not start with the word 'Code', using a negative lookahead.","^(?!Code)\w+$"
"Validate a string of exactly four lowercase letters.","^[a-z]{4}$"
"Search for a string that starts with the word 'beta'.","^beta.*$"
"Extract a string made of four lowercase letters followed by two digits.","^[a-z]{4}[0-9]{2}$"
"Capture a string of between two and four word characters.","^\w{2,4}$"
"Test whether the input is a string where the substring 'job' is immediately followed by a three-digit id.","^.*job\d{3}.*$"
"Check if the input is a string of exactly eight uppercase letters.","^[A-Z]{8}$"
"Check if the input is a string of one or more special characters.","^[!@#$%^&*]+$"
"Search for a string that starts with the word 'time'.","^time.*$"
"Capture a string that is exactly the word 'invoice'.","^invoice$"
"Find a string containing the standalone whole word 'config'.","^.*\bconfig\b.*$"
"Find a string where the substring 'address' is immediately followed by a three-digit id.","^.*address\d{3}.*$"
"Test whether the input is a string of word characters that does not start with the word 'Session', using a negative lookahead.","^(?!Session)\w+$"
"Check if the input is a string where the substring 'admin' is immediately followed by a four-digit id.","^.*admin\d{4}.*$"
"Identify a string that ends with the word 'order'.","^.*order$"
"Capture a string of exactly five uppercase letters.","^[A-Z]{5}$"
"Find a string made of three uppercase letters followed by two digits.","^[A-Z]{3}[0-9]{2}$"
"Detect a string where the substring 'level' is immediately followed by a two-digit id.","^.*level\d{2}.*$"
"Detect a string that starts with the word 'profile'.","^profile.*$"
"Detect a string of exactly four vowels.","^[aeiou]{4}$"
"Validate a string made of three lowercase letters followed by three digits.","^[a-z]{3}[0-9]{3}$"
"Detect a string where one or more digits come immediately before the word 'batch'.","^.*\d+batch.*$"
"Validate a string where the substring 'level' is immediately followed by a six-digit id.","^.*level\d{6}.*$"
"Check if the input is a string where the substring 'flag' is immediately followed by a six-digit id.","^.*flag\d{6}.*$"
"Detect a string where one or more digits come immediately before the word 'minute'.","^.*\d+minute.*$"
"Extract a string of exactly four punctuation marks.","^[.,;:!?]{4}$"
"Test whether the input is a string containing the substring 'task'.","^.*task.*$"
"Capture a string of exactly eight whitespace characters.","^\s{8}$"
"Find a string containing the same digit repeated four times in a row.","^.*(\d)\1{3}.*$"
"Extract a string where one or more digits come immediately before the word 'graph'.","^.*\d+graph.*$"
"Detect a string that ends with the word 'session'.","^.*session$"
"Match a string where the substring 'cache' is immediately followed by a two-digit id.","^.*cache\d{2}.*$"
"Match a string where one or more digits come immediately before the word 'node'.","^.*\d+node.*$"
"Test whether the input is a string of at least five whitespace characters.","^\s{5,}$"
"Validate a string where the word 'task' is followed by one or more digits.","^.*task\d+.*$"
"Test whether the input is a string where the substring 'ticket' is immediately followed by a two-digit id.","^.*ticket\d{2}.*$"
"Match a string that ends with the word 'admin'.","^.*admin$"
"Validate a string where the substring 'address' is immediately followed by a three-digit id.","^.*address\d{3}.*$"
"Detect a string containing the standalone whole word 'report'.","^.*\breport\b.*$"
"Extract a string of exactly four consonants.","^[bcdfghjklmnpqrstvwxyz]{4}$"
"Test whether the input is a string where the substring 'stack' is immediately followed by a three-digit id.","^.*stack\d{3}.*$"
"Search for a string containing the standalone whole word 'graph'.","^.*\bgraph\b.*$"
"Test whether the input is a string of between five and ten lowercase letters.","^[a-z]{5,10}$"
